序号,任务名,De-En,XSum1,XSum2,XSumL,中文描述当前的改进,改进描述
1,paper_ELF-B_Table1_reference,26.4,36.0,12.2,27.8,论文 ELF-B 原始结果参考，不是本项目改进。,"Paper reference from ELF Embedded Language Flows.pdf Table 1. This row is the target reference; all result columns in this CSV use absolute metric values, not deltas."
2,geom_router_full_deen_s42_layers0-3_denoiser_only_n1000,25.1531,,,,在 De-En 上启用多层 Geometry Router，仅作用 denoiser attention。,"1000-sample De-En full eval, seed 42, same router as smoke. Baseline seed42 BLEU 25.8341, delta -0.6810 BLEU; output outputs/geom_router_deen_full_s42. Full result did not beat baseline/paper."
3,geom_router_full_xsum_s42_layers0-3_denoiser_only_n1000,,36.1154,12.0830,28.0169,在 XSum 上启用多层 Geometry Router，仅作用 denoiser attention。,"1000-sample XSum full eval, seed 42, same router as smoke. Baseline seed42 R1/R2/RL 36.4041/12.5206/28.2030, deltas -0.2887/-0.4376/-0.1861; output outputs/geom_router_xsum_full_s42. Full result did not beat baseline/paper."
4,geom_router_full_s42_layers0-3_denoiser_only_combined_n1000,25.1531,36.1154,12.0830,28.0169,多层 Geometry Router 的 De-En 与 XSum full 结果汇总。,"Combined absolute 1000-sample seed42 results for the layers0-3 router setting from outputs/geom_router_deen_full_s42 and outputs/geom_router_xsum_full_s42. Metric columns are absolute values, not deltas."
5,geom_router_sweepA_full_deen_s42_layer0_n1000,26.0664,,,,候选 A：仅第 0 层启用 Geometry Router，并强化欧式门控。,"1000-sample De-En full eval, seed 42, candidate A. Baseline seed42 BLEU 25.8341, delta +0.2323 BLEU; R1/R2/RL deltas +0.2095/+0.1048/+0.1735. Output outputs/geom_router_deen_sweepA_full_s42. Beats seed42 baseline but not the best local seed456 baseline 26.2206."
6,geom_router_sweepA_full_xsum_s42_layer0_n1000,,36.1719,12.4291,28.2138,候选 A：XSum 上仅第 0 层启用 Geometry Router，并强化欧式门控。,"1000-sample XSum full eval, seed 42, candidate A. Baseline seed42 R1/R2/RL 36.4041/12.5206/28.2030, deltas -0.2322/-0.0915/+0.0108; BLEU delta +0.0927. Output outputs/geom_router_xsum_sweepA_full_s42. Mixed: ROUGE-L slightly beats seed42 baseline, R1/R2 do not."
7,geom_router_sweepA_full_s42_layer0_combined_n1000,26.0664,36.1719,12.4291,28.2138,候选 A 的 De-En 与 XSum full 结果汇总。,"Combined absolute 1000-sample seed42 results for candidate A from outputs/geom_router_deen_sweepA_full_s42 and outputs/geom_router_xsum_sweepA_full_s42. Metric columns are absolute values, not deltas."
8,geom_router_sweepE_full_xsum_s42_layer0_bh-4_bs-3_n1000,,36.1722,12.4231,28.2355,候选 E：在候选 A 基础上进一步压低 hyperbolic 分支先验。,"1000-sample XSum full eval, seed 42, candidate E. Baseline seed42 R1/R2/RL 36.4041/12.5206/28.2030, deltas -0.2319/-0.0975/+0.0325; versus candidate A full: +0.0003/-0.0060/+0.0217. BLEU 8.2313, baseline delta +0.0553, A delta -0.0373. Best full ROUGE-L so far, but still not a clean XSum win because ROUGE-1/2 regress."
9,geom_router_sweepE_full_deen_s42_layer0_bh-4_bs-3_n1000,25.9507,,,,候选 E：De-En 上测试压低 hyperbolic 分支先验的路由设置。,"1000-sample De-En full eval, seed 42, candidate E. Baseline seed42 BLEU 25.8341, delta +0.1166; versus candidate A full 26.0664, delta -0.1158. ROUGE1/2/L 59.1272/33.2637/53.8326; deltas vs seed42 +0.0775/-0.0452/+0.0140. Candidate E helps XSum ROUGE-L more than De-En; keep A as best De-En setting."
10,geom_router_sweepA_full_deen_s456_layer0_n1000,26.1046,,,,候选 A 使用 seed456 复测 De-En full 结果。,"1000-sample De-En full eval, seed 456, candidate A: layers=0, denoiser_only=true, sample_size=16, quad_samples=128, bias_e=3.0, bias_h=-3.0, bias_s=-3.0, time_e_bias=1.0. Baseline seed456 BLEU 26.2206, delta -0.1160; paper ELF-B BLEU 26.4, delta -0.2954. ROUGE1/2/L 59.3175/33.3772/53.9744; R1/R2 slightly improve vs seed456 baseline but BLEU and RL regress. Do not use this as best De-En."
11,baseline_deen_full_s42_n1000,25.8341,,,,原始 ELF PyTorch De-En seed42 基线，无 Geometry Router。,"1000-sample De-En disabled-router baseline, seed42, output outputs/deen/seed_42. Paper Table 1 De-En target is 26.4, delta -0.5659. Used as local seed42 reference for router deltas."
12,baseline_deen_full_s123_n1000,25.1793,,,,原始 ELF PyTorch De-En seed123 基线，无 Geometry Router。,"1000-sample De-En disabled-router baseline, seed123, output outputs/deen/seed_123. Paper Table 1 De-En target is 26.4, delta -1.2207. Worse than seed42 and seed456."
13,baseline_deen_full_s456_n1000,26.2206,,,,原始 ELF PyTorch De-En seed456 基线，无 Geometry Router。,"1000-sample De-En disabled-router baseline, seed456, output outputs/deen/seed_456. Best local full De-En baseline so far; paper Table 1 target 26.4, delta -0.1794."
14,baseline_xsum_full_s42_n1000,,36.4041,12.5206,28.2030,原始 ELF PyTorch XSum seed42 基线，无 Geometry Router。,"1000-sample XSum disabled-router baseline, seed42, output outputs/xsum_s42. Above paper Table 1 XSum 36.0/12.2/27.8 by +0.4041/+0.3206/+0.4030; main local XSum reference."
15,baseline_xsum_full_s123_n1000,,35.7632,12.3706,28.0295,原始 ELF PyTorch XSum seed123 基线，无 Geometry Router。,"1000-sample XSum disabled-router baseline, seed123, output outputs/xsum_s123. Versus paper Table 1 36.0/12.2/27.8: -0.2368/+0.1706/+0.2295."
16,baseline_xsum_full_s456_n1000,,35.8207,12.2719,27.7441,原始 ELF PyTorch XSum seed456 基线，无 Geometry Router。,"1000-sample XSum disabled-router baseline, seed456, output outputs/xsum_s456. Versus paper Table 1 36.0/12.2/27.8: -0.1793/+0.0719/-0.0559."
17,scratch_base_deen_ep5_s42_n1000,21.8470,,,,从头训练对照组(router关)5-epoch,"From-scratch De-En ELF-B, geometry router OFF, 5 epochs (step44030), seed42, 1000-sample full eval. BLEU 21.8470; ROUGE-1/2/L 56.3196/29.1514/50.9479. Control arm for the trained-router A/B. (5 epochs is undertrained vs original 100-epoch 25.74, but matched-budget vs the geom arm.)"
18,scratch_base_deen_ep2_s42_n1000,12.4417,,,,从头训练对照组(router关)epoch2 早期点,"From-scratch De-En ELF-B, router OFF, epoch2 (step17612), seed42, 1000-sample. BLEU 12.4417; ROUGE-1/2/L 46.6500/19.4438/41.5377. Early matched checkpoint for A/B vs geom epoch2."
19,scratch_geom_deen_ep2_s42_n1000,12.1110,,,,从头训练实验组(router开+可学习门控)epoch2,"From-scratch De-En ELF-B, geometry router ON (all layers, denoiser_only, learnable per-layer bias), epoch2 (step17612), seed42, 1000-sample. BLEU 12.1110; ROUGE-1/2/L 46.1268/18.9461/40.8269. Matched A/B vs row18 base: delta BLEU -0.3307, ROUGE -0.52/-0.50/-0.71 — geom consistently slightly BELOW the no-router control on all 4 metrics. Learned router bias (ckpt17612) drifts toward MORE Euclidean with depth (bias_e up to +5.2, bias_h/s down to ~-4.9 in deep layers): the model actively suppresses the hyperbolic/sphere branches. Geom epoch5 eval pending (~14h)."
20,scratch_geom_deen_ep5_s42_n1000,22.0526,,,,从头训练实验组(router开)epoch5 最终结果,"From-scratch De-En ELF-B, geometry router ON (all 12 layers, denoiser_only, learnable per-layer bias), 5 epochs (step44030), seed42, 1000-sample. BLEU 22.0526; ROUGE-1/2/L 56.3098/29.3147/51.1809. vs base epoch5 (row17, BLEU 21.8470): delta BLEU +0.2056, ROUGE -0.0098/+0.1633/+0.2329 — all within single-seed BLEU noise (~+-0.4), so geom and base are effectively TIED. DECISIVE evidence is the learned gates: by epoch5 gate_e -> ~1.0000 in layers 3-11 (bias_e up to +7.52, bias_h/s down to ~-6.5), i.e. the model trained the router to fully DISABLE the hyperbolic/sphere branches. Conclusion: v1 operator-level geometry routing (Busemann-proxy + cosine-sphere) gives NO benefit on De-En from-scratch, costs ~3.4x train compute, and the model learns to ignore it. Caveat: 1 seed/arm; gate->Euclidean evidence is seed-robust. Trajectory: epoch2 dBLEU -0.33 -> epoch5 +0.21 (sign flip = noise, not signal)."
21,scratch_geom_warmup_deen_ep5_s42_n1000,21.6032,,,,门控warmup实验(检验冷启动死亡螺旋)epoch5,"From-scratch De-En ELF-B, geometry router ON + 5-epoch GATE WARMUP (force uniform E/H/S mixing early so the hyperbolic/sphere branches are trained, then anneal to learned gates), fast router (sample16, sphere_k=0.5/2.0), seed42, 1000-sample. BLEU 21.6032; ROUGE 56.108/28.920/50.912. THREE-WAY matched 5-epoch: base 21.85 / geom-no-warmup 22.05 / geom+warmup 21.60 — all within single-seed noise (~+-0.43), TIED. DECISIVE: even with branches force-trained, the learned deep-layer gate_e hits 1.0000 by epoch3 (mid-warmup) and STAYS 1.0000 post-warmup (epoch6 alpha=0); warmup-end bias_h=-5.07 == no-warmup-end -5.05. => Cold-start death-spiral hypothesis REFUTED: the model rejects the geometry branches because they are genuinely not useful for De-En, not because they were under-trained. v1 operator-level geometry routing confirmed no-benefit. Run stopped at epoch6.8/15 (answer reached; checkpoints saved, resumable)."
